TextBlob_Analysis BI,TextBlob_Polarity BI,TextBlob_Subjectivity BI,TextBlob_Subjectivity TIn,TextBlob_Polarity TIn,TextBlob_Analysis TIn,TextBlob_Polarity BIM,TextBlob_Subjectivity BIM,TextBlob_Analysis BIM,TextBlob_Subjectivity TIm,TextBlob_Polarity TIm,TextBlob_Analysis TIm
Negative,-0.111674603,0.531714286,0.36537022,0.031326096,Positive,-0.008886484,0.511805556,Negative,0.476851852,0.148611111,Positive
Positive,0.040622896,0.575409652,0.359088948,0.079799378,Positive,0.037561704,0.466768108,Positive,0.450995954,0.183098315,Positive
Positive,0.10630854000000001,0.422492951,0.417999694,0.02009314,Positive,-0.122713463,0.474797923,Negative,0.475833333,0.110208333,Positive
Positive,0.158400673,0.610671998,0.478347763,0.180461986,Positive,0.10464876,0.403527155,Positive,0.55,0.2,Positive
Positive,0.067799539,0.298387097,0.308333333,0.001666667,Positive,0.43968254,0.634126984,Positive,0.337717511,0.123051948,Positive
Negative,-0.048189438,0.46215379,0.415104167,0.148887311,Positive,-0.101785714,0.532142857,Negative,0.477064602,0.111762543,Positive
Negative,-0.012037962,0.421228771,0.352380952,0.004761905,Positive,-0.059013605,0.382993197,Negative,0.398127835,0.051985809,Positive
Positive,0.0054106,0.419883904,0.690740741,0.366666667,Positive,0.383333333,0.516666667,Positive,0.307682292,0.05969122,Positive
Positive,0.088633595,0.441110692,0.427196463,0.045540936,Positive,0.009714286,0.322619048,Positive,0.5,-0.1875,Negative
Positive,0.016843328,0.51442577,0.339732143,-0.011742424,Negative,0.068303571,0.447470238,Positive,0.496073901,0.176298093,Positive
Negative,-0.043784388,0.565467812,0.482796056,0.083032468,Positive,0.005766431,0.405953037,Positive,0.378539254,0.080523381,Positive
Positive,0.062684934,0.390281544,0.584715822,0.335272657,Positive,0.152564103,0.391025641,Positive,0.540500628,0.012714705,Positive
Negative,-0.047213203,0.3933171,0.455643331,0.179612183,Positive,0.132936508,0.478670635,Positive,0.266666667,-0.074074074,Negative
Positive,0.023676658,0.477958475,0.41226211,0.142275961,Positive,-0.089649744,0.393907418,Negative,0.44,-0.0775,Negative
Positive,0.154545455,0.405844156,0.378661376,0.105365079,Positive,-0.090909091,0.486969697,Negative,0.312698413,-0.007936508,Negative
Negative,-0.055555556,0.055555556,0.396460516,0.010783769,Positive,0,0,Neutral,0.552857603,0.244708483,Positive
Negative,-0.075530303,0.496666667,0.492801403,0.087725808,Positive,0.075233844,0.491390306,Positive,0.34469697,0.027483165,Positive
Positive,0.108571429,0.391428571,0.40462963,0.063888889,Positive,0.131493506,0.504220779,Positive,0.435204082,-0.020408163,Negative
Positive,0.094444444,0.458333333,0.477940438,0.180278873,Positive,-0.127536232,0.375603865,Negative,0.533333333,-0.3,Negative
Positive,0.058521212,0.455781818,0.463716052,0.119690508,Positive,-0.041287879,0.428030303,Negative,0.464934099,0.008749324,Positive
Positive,0.165457852,0.595119649,0.494279489,0.10200585400000001,Positive,0.250738916,0.540065681,Positive,0.413854299,0.065065147,Positive
Negative,-0.14122685200000001,0.519318783,0.398344156,0.134925295,Positive,-0.004399586,0.530279503,Negative,0.443333333,0.108888889,Positive
Positive,0.269188312,0.524880952,0.472553721,0.145205302,Positive,0.052173913,0.32089372,Positive,0.451548006,0.110098755,Positive
Positive,0.073207399,0.48209104,0.443172214,0.136343015,Positive,0,0,Neutral,0.408874459,0.062445887,Positive
Positive,0.133435738,0.521880783,0.500095107,0.133589138,Positive,0,0,Neutral,0.367109635,0.01139258,Positive
